Full_Plot_Number,Genotype,Chlorophyll,Treatment,Block,Row,Range
20104,PI533807,491.2,HN,2,4,13
20105,PI655975,394.4,HN,2,5,13
20106,PI576349,364.8,HN,2,6,13
20107,PI564165,451.8,HN,2,7,13
20108,PI656003,456.5,HN,2,8,13
20109,PI656113,513.9,HN,2,9,13
20110,PI656091,466,HN,2,10,13
20111,PI655988,693.3,HN,2,11,13
20112,PI656007,502.1,HN,2,12,13
20113,PI533927,397.5,HN,2,13,13
20114,PI574455,581,HN,2,14,13
20115,PI276837,455.8,HN,2,15,13
20116,PI576345,483.7,HN,2,16,13
20117,PI656041,428.8,HN,2,17,13
20118,PI656044,466.7,HN,2,18,13
20119,PI595739,417.3,HN,2,19,13
20120,PI656024,394.6,HN,2,20,13
20122,PI585291,464.8,HN,2,22,13
20123,PI656057,237.3,HN,2,23,13
20124,Tx430,,HN,2,24,13
20125,PI533949,383.9,HN,2,25,13
20126,PI533912,583.8,HN,2,26,13
20127,PI533866,474,HN,2,27,13
20128,PI534070,429.5,HN,2,28,13
20129,PI629059,440,HN,2,29,13
20130,PI576425,492.3,HN,2,30,13
20131,PI576339,463.3,HN,2,31,13
20132,PI597965,488.2,HN,2,32,13
20133,PI656022,264.6,HN,2,33,13
20134,PI656108,486.2,HN,2,34,13
20135,PI656060,590,HN,2,35,13
20136,PI656000,660.4,HN,2,36,13
20201,PI534009,404.3,HN,2,1,14
20202,PI533814,356.5,HN,2,2,14
20203,PI533924,591.8,HN,2,3,14
20204,PI533998,425.2,HN,2,4,14
20205,PI656004,413.7,HN,2,5,14
20206,PI576396,367.2,HN,2,6,14
20207,PI655996,,HN,2,7,14
20210,PI656070,357.3,HN,2,10,14
20211,PI656015,514.6,HN,2,11,14
20212,PI656069,430.7,HN,2,12,14
20213,PI561472,408.7,HN,2,13,14
20215,PI24969,446.7,HN,2,15,14
20216,PI48770,471.6,HN,2,16,14
20217,PI597964,436.9,HN,2,17,14
20219,PI609456,418.2,HN,2,19,14
20220,PI656008,394.2,HN,2,20,14
20222,PI656083,437.4,HN,2,22,14
20223,PI656062,351.5,HN,2,23,14
20224,PI656099,400.6,HN,2,24,14
20225,PI533758,481,HN,2,25,14
20226,PI533910,477.9,HN,2,26,14
20227,PI533915,512.6,HN,2,27,14
20229,PI534101,439.4,HN,2,29,14
20230,PI597952,517.6,HN,2,30,14
20232,PI595714,446,HN,2,32,14
20233,PI655993,332.2,HN,2,33,14
20236,PI35038,336.8,HN,2,36,14
20301,PI534053,315.6,HN,2,1,15
20302,PI533831,466.7,HN,2,2,15
20303,PI533972,456.7,HN,2,3,15
20304,PI534133,387.5,HN,2,4,15
20305,PI656002,559.2,HN,2,5,15
20307,PI597949,518.3,HN,2,7,15
20308,PI629040,378.5,HN,2,8,15
20310,PI656061,430.1,HN,2,10,15
20311,PI656006,383.9,HN,2,11,15
20312,PI656009,544.1,HN,2,12,15
20313,PI576380,401.6,HN,2,13,15
20314,PI533882,567.7,HN,2,14,15
20315,PI576130,401.9,HN,2,15,15
20316,PI576359,319,HN,2,16,15
20317,PI656028,395.5,HN,2,17,15
20318,PI656042,499.6,HN,2,18,15
20320,PI656037,397.4,HN,2,20,15
20321,PI655984,538.3,HN,2,21,15
20322,Tx430,433.5,HN,2,22,15
20323,Tx430,469.3,HN,2,23,15
20324,PI656068,536.6,HN,2,24,15
20325,PI534037,294.4,HN,2,25,15
20326,PI533921,465.8,HN,2,26,15
20328,PI533911,420.6,HN,2,28,15
20329,PI576364,445.1,HN,2,29,15
20330,PI534124,475.7,HN,2,30,15
20331,PI534105,566.5,HN,2,31,15
20332,PI629034,443.1,HN,2,32,15
20333,PI656089,514.9,HN,2,33,15
20334,PI655971,499.9,HN,2,34,15
20335,PI656085,503.6,HN,2,35,15
20336,PI656052,378.4,HN,2,36,15
20401,PI533755,439.4,HN,2,1,16
20402,PI533902,369.3,HN,2,2,16
20403,PI533903,524.9,HN,2,3,16
20404,PI533962,287.5,HN,2,4,16
20405,PI576434,357,HN,2,5,16
20406,PI534135,448.2,HN,2,6,16
20407,PI548797,445.3,HN,2,7,16
20408,PI576340,562.7,HN,2,8,16
20409,PI656040,449.1,HN,2,9,16
20410,PI656026,397.4,HN,2,10,16
20411,PI659694,448.7,HN,2,11,16
20412,PI656016,623.7,HN,2,12,16
20413,PI533878,584.3,HN,2,13,16
20414,PI533824,416.6,HN,2,14,16
20415,PI533967,401.8,HN,2,15,16
20416,PI533989,467,HN,2,16,16
20417,PI642992,348.9,HN,2,17,16
20418,PI656014,325.9,HN,2,18,16
20419,PI576428,508.1,HN,2,19,16
20420,PI651496,295.8,HN,2,20,16
20421,PI656076,386.3,HN,2,21,16
20422,PI656051,401.9,HN,2,22,16
20423,PI656073,440.1,HN,2,23,16
20424,PI656107,289.3,HN,2,24,16
20425,PI533991,405.5,HN,2,25,16
20426,PI533954,508.9,HN,2,26,16
20427,PI533986,525.9,HN,2,27,16
20428,PI533830,524.4,HN,2,28,16
20429,PI576394,417,HN,2,29,16
20430,PI597957,506.6,HN,2,30,16
20431,PI595720,569.4,HN,2,31,16
20432,PI597971,336.3,HN,2,32,16
20433,PI655982,554.5,HN,2,33,16
20434,PI656078,410.2,HN,2,34,16
20435,PI656005,425,HN,2,35,16
20436,PI655991,484.6,HN,2,36,16
20502,PI533943,484.8,HN,2,2,17
20503,PI533843,483.6,HN,2,3,17
20505,PI585295,471.2,HN,2,5,17
20506,PI576426,545.4,HN,2,6,17
20507,PI595740,373.3,HN,2,7,17
20508,PI595743,346.2,HN,2,8,17
20509,PI656039,378,HN,2,9,17
20510,PI656053,460.4,HN,2,10,17
20511,PI656110,440.2,HN,2,11,17
20512,PI656034,395.2,HN,2,12,17
20513,PI561071,376.5,HN,2,13,17
20514,PI34911,349.8,HN,2,14,17
20517,PI601816,294.6,HN,2,17,17
20518,PI656023,454.8,HN,2,18,17
20519,PI655970,479.9,HN,2,19,17
20521,PI656048,437.5,HN,2,21,17
20522,PI659753,481,HN,2,22,17
20523,PI656086,,HN,2,23,17
20524,PI656049,408.7,HN,2,24,17
20525,PI533750,422.9,HN,2,25,17
20526,PI533997,495.7,HN,2,26,17
20527,PI533948,631.4,HN,2,27,17
20528,PI533760,,HN,2,28,17
20529,PI597968,463.7,HN,2,29,17
20531,PI576352,579.5,HN,2,31,17
20532,PI576390,586.9,HN,2,32,17
20533,PI656077,493.5,HN,2,33,17
20534,PI656096,514.6,HN,2,34,17
20535,PI656115,332.9,HN,2,35,17
20536,PI656095,480.4,HN,2,36,17
20601,PI533965,435.4,HN,2,1,18
20602,PI533800,507.8,HN,2,2,18
20603,PI534114,430.4,HN,2,3,18
20604,PI533863,476.6,HN,2,4,18
