ID	Range	genotype	experiment	sublock	Block	WHOLE WEIGHT (g)	W.W-COBS	20 KERNELS WEIGHT	COB LENGTH (CM)	COB DIA MM
21HL_JY1147	23	BGEM-0234-N	LN	sb4	bk4	74.6333333333333	57.0666666666667	4.33333333333333	12.1333333333333	27.2033333333333
21HL_JY1148	23	B73	LN	sb4	bk4	45.4333333333333	35.8	3.63333333333333	9.93333333333333	23.5033333333333
21HL_JY1149	23	BGEM-0127-N	LN	sb4	bk4	62.0333333333333	46.6666666666667	3.9	14.2	21.8
21HL_JY1150	23	BGEM-0255-S	LN	sb4	bk4	53.0666666666667	42.1	5.23333333333333	10.7333333333333	19.9
21HL_JY1151	24	BGEM-0028-S	LN	sb3	bk4	39.4666666666667	28.0333333333333	3.9	9.53333333333333	20.52
21HL_JY1152	24	BGEM-0147-S	LN	sb3	bk4	60.8666666666667	45.2	4.63333333333333	13.5666666666667	24.3666666666667
21HL_JY1153	24	BGEM-0099-S	LN	sb3	bk4	67	58.3	3.93333333333333	12.0666666666667	18.2933333333333
21HL_JY1154	24	BGEM-0164-S	LN	sb3	bk4	69.9333333333333	52.1333333333333	4.96666666666667	14.8333333333333	21.0833333333333
21HL_JY1155	24	BGEM-0081-S	LN	sb3	bk4	31.8333333333333	19.7666666666667	4.13333333333333	9.03333333333333	25.59
21HL_JY1156	24	BGEM-0060-S	LN	sb3	bk4	39.5	28.5333333333333	4.66666666666667	10.9333333333333	23.3666666666667
21HL_JY1157	24	BGEM-0051-S	LN	sb3	bk4	57.9333333333333	44.1	4.26666666666667	13.6666666666667	20.2566666666667
21HL_JY1158	24	B73	LN	sb3	bk4	99.8666666666667	72.1666666666667	4.4	15	28.64
21HL_JY1159	24	BGEM-0027-S	LN	sb3	bk4	66	52.5333333333333	5.3	11.8	20.5366666666667
21HL_JY1160	24	BGEM-0170-S	LN	sb3	bk4	40.8333333333333	29.1	5.56666666666667	11.8333333333333	22.3833333333333
21HL_JY1162	24	B73	LN	sb3	bk4	96.9333333333333	74.9666666666667	5.93333333333333	13.9333333333333	28.22
21HL_JY1163	24	BGEM-0130-N	LN	sb3	bk4	81.9333333333333	65.2	5.03333333333333	14.2	23.56
21HL_JY1164	24	BGEM-0226-S	LN	sb3	bk4	80.6	63.6666666666667	4.63333333333333	14.3333333333333	22.4366666666667
21HL_JY1165	24	BGEM-0159-S	LN	sb3	bk4	34.9	19.6	4.9	15.2	24.25
